v7,v8,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,bald,iperhver,ipisco,troende
2,1951,2,2,2,2,1,2,2,2,2,2,2,2,2,2,48,4,22,3
1,1969,2,2,2,2,1,2,1,2,2,2,2,2,2,2,30,4,1,1
1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,3,24,1
2,1944,1,2,2,1,2,2,2,2,2,2,1,2,2,2,55,0,51,1
2,1978,2,2,2,2,2,2,2,2,2,2,1,2,2,2,21,0,51,2
2,1939,1,2,2,1,2,2,2,2,2,2,2,1,2,2,60,1,41,1
1,1967,1,1,1,1,1,1,2,1,1,1,2,1,1,1,32,3,51,1
1,1978,2,2,2,1,2,2,2,2,2,2,1,1,2,2,21,4,100,1
1,1941,1,2,2,2,2,2,2,2,2,2,1,2,2,2,58,1,12,3
1,1960,2,2,2,2,2,2,2,2,1,2,1,2,2,2,39,0,42,3
2,1952,1,2,2,2,2,2,2,2,2,2,2,2,2,2,47,1,34,1
2,1968,2,2,2,1,1,2,2,2,2,2,1,2,2,1,31,4,41,2
2,1967,1,2,2,2,2,2,2,2,2,2,1,2,2,2,32,4,100,1
2,1973,2,2,2,2,2,2,2,2,2,2,1,2,2,2,26,4,100,2
1,1958,2,2,2,2,2,2,2,2,2,2,2,2,2,2,41,0,100,1
2,1972,2,2,2,1,2,2,2,2,2,1,1,1,2,2,27,0,100,1
2,1960,2,1,2,2,2,2,2,2,2,2,1,2,2,1,39,0,51,1
2,1952,2,2,2,2,2,2,2,2,2,2,2,2,2,2,47,2,51,2
1,1968,2,2,2,1,2,2,2,2,2,2,1,2,1,2,31,1,34,3
2,1970,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,4,100,1
2,1974,2,2,2,1,2,2,2,2,2,2,1,2,2,2,25,4,100,3
1,1973,2,2,2,1,2,2,1,2,2,2,2,2,2,2,26,4,21,3
2,1942,1,1,2,1,2,1,1,1,1,2,1,2,2,1,57,1,51,1
1,1971,2,2,2,2,2,2,2,2,2,2,2,2,2,2,28,1,72,2
2,1974,2,2,2,2,2,1,2,2,2,2,2,2,2,2,25,1,100,1
2,1957,1,1,2,1,1,1,1,1,1,2,1,2,2,2,42,2,34,2
1,1973,2,2,2,1,2,2,2,2,2,2,1,2,2,2,26,0,100,1
1,1959,2,2,2,2,1,2,2,2,2,2,2,2,2,2,40,4,23,1
1,1947,1,2,2,1,2,2,1,2,2,2,1,2,2,2,52,0,93,1
1,1979,1,2,2,2,2,2,2,2,2,1,1,2,2,2,20,0,100,2
2,1969,2,2,2,2,2,2,2,2,2,2,1,2,2,2,30,3,32,1
2,1959,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,4,24,1
2,1930,1,1,1,1,1,1,1,1,1,1,1,2,2,1,69,0,100,1
2,1951,2,2,2,1,2,2,2,1,1,2,1,2,2,2,48,0,31,1
2,1940,2,2,2,2,2,2,2,2,2,2,2,2,2,2,59,1,41,1
1,1955,1,2,2,1,1,2,2,2,2,2,1,2,2,2,44,3,31,1
2,1966,1,2,2,1,2,2,1,2,2,1,1,2,2,2,33,4,100,1
2,1970,1,2,2,2,2,2,2,2,2,2,1,2,2,2,29,3,34,1
1,1944,1,1,1,1,1,1,1,1,1,1,1,1,1,1,55,3,72,1
2,1980,2,2,2,2,2,2,2,2,2,2,1,2,2,2,19,0,100,1
2,1964,2,2,2,2,1,2,2,2,2,2,1,2,2,2,35,3,100,3
2,1962,1,2,2,2,2,2,2,2,2,2,1,2,2,2,37,3,34,1
2,1933,1,2,2,1,2,2,2,2,2,1,1,2,2,2,66,4,41,2
1,1930,1,2,2,1,2,2,1,2,2,1,1,2,2,2,69,1,12,1
2,1957,2,2,2,2,2,1,2,2,2,2,2,2,2,1,42,3,31,1
2,1979,2,2,2,1,2,2,2,2,2,2,1,2,2,2,20,0,33,1
1,1961,2,2,2,2,1,2,2,2,2,2,1,2,2,2,38,1,61,2
1,1950,1,2,2,1,2,2,2,2,2,2,1,2,2,2,49,1,13,1
2,1935,2,2,1,1,1,2,1,2,2,2,1,2,2,2,64,4,41,2
2,1948,2,2,2,2,2,2,2,2,2,2,2,2,2,2,51,1,52,1
2,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,0,51,2
2,1967,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,1,41,1
